# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
21828.7000 M651 566145 37 2578.7000 w96 c76 257 N w96->c73->c75->w91->p34->w91->p34->p30->c68->p18->w119->c57->c73->c67->c73->c63->p3->p33->p3->c58->c70->w105->p23->c48->p0->w115->c51->p20->p12->w81->p16->w82->p6->w110->w108->c61->p33->c76
21939.4000 M622 547758 11 3557.4000 p1 w105 240 N p1->c48->p9->t121->p8->p14->p8->c55->t122->c68->t123->w105
22127.2000 M746 739206 1 50.2000 c79 p5 299 N c79->p5
22155.9000 M717 986551 5 939.9000 p39 c47 284 N p39->p26->p28->c68->t125->c47
22156.2000 M516 662678 5 6948.2000 c52 p23 184 N c52->c67->t123->t124->t123->p23
22203.8000 M739 611057 1 345.8000 c76 p9 294 N c76->p9
22431.4000 M758 660621 1 5.4000 w116 t122 299 N w116->t122
22439.2000 M690 663004 17 2030.2000 t120 w106 266 N t120->w93->c55->c68->c45->c59->w93->p31->w93->p31->p8->c58->c69->c59->c54->c46->c78->w106
22564.5000 M726 559955 4 1087.5000 w85 p23 281 N w85->c54->w93->t120->p23
22876.9000 M702 535948 4 2108.9000 p34 c45 264 N p34->c47->c79->t125->c45
23085.3000 M720 804698 2 1779.3000 c70 c79 270 N c70->t121->c79
23104.2000 M766 657726 6 443.2000 p23 p31 292 N p23->p24->w88->c49->p23->c73->p31
23186.6000 M719 852139 7 1914.6000 t124 c65 268 N t124->t123->t124->c44->c51->w112->c44->c65
23631.6000 M662 882695 20 4052.6000 w92 w96 232 N w92->p31->p19->w93->c56->w93->p7->w93->w92->p19->p31->w114->w92->c47->w114->c74->w114->w102->c48->t121->w96
23804.6000 M801 860493 3 122.6000 p4 c47 297 N p4->p6->p4->c47
23852.0000 M793 680242 1 405.0000 t121 p23 293 N t121->p23
23962.1000 M738 517962 1 2129.1000 t122 w106 264 N t122->w106
24018.1000 M751 995086 5 1799.1000 t123 p12 270 N t123->t122->c71->w106->t120->p12
24508.4000 M772 593402 3 1662.4000 t123 c48 272 N t123->c66->p18->c48
24685.1000 M820 919802 4 450.1000 c74 c68 292 N c74->c76->p10->c62->c68
24810.2000 M836 713463 1 123.2000 c60 c47 297 N c60->c47
25067.6000 M787 743777 16 1783.6000 p36 p2 270 N p36->p39->p36->w116->p19->p39->p19->w116->c43->c49->c68->w86->p28->p27->p31->t124->p2
25149.9000 M849 655744 3 66.9000 w117 w99 298 N w117->w82->c78->w99
25385.6000 M846 767669 6 386.6000 w101 p34 293 N w101->c74->w106->p3->w114->c74->p34
25408.2000 M828 582670 10 956.2000 p16 c79 284 N p16->c57->p29->c78->c71->c66->c71->c66->c74->c73->c79
25533.8000 M864 523033 1 2.8000 p6 c72 299 N p6->c72
25568.1000 M763 542576 2 2997.1000 p24 w92 250 N p24->t124->w92
25659.5000 M773 749587 3 2781.5000 c42 p35 253 N c42->c75->t122->p35
25696.3000 M779 951473 1 2652.3000 t122 c54 255 N t122->c54
25802.8000 M826 660306 4 1401.8000 c41 c55 276 N c41->c67->p6->t120->c55
26201.3000 M821 643230 1 1941.3000 t123 c42 267 N t123->c42
26326.0000 M796 913033 2 2788.0000 t120 w86 253 N t120->t122->w86
26427.4000 M844 649415 4 1487.4000 c53 p18 275 N c53->c54->c68->t125->p18
26444.6000 M868 548365 12 790.6000 p29 w88 286 N p29->p25->c68->p8->c67->p25->w116->c50->p29->c56->c67->p36->w88
26655.8000 M899 719756 3 82.8000 c71 p39 298 N c71->p1->w100->p39
26725.1000 M873 899802 8 922.1000 c53 p20 284 N c53->w118->p19->w118->p19->w99->w111->t121->p20
26763.6000 M803 625220 11 3023.6000 p26 w89 249 N p26->w112->p26->c48->c74->w93->p30->p29->c52->c79->c65->w89
26783.4000 M785 562579 11 3557.4000 c64 p24 240 N c64->p5->w96->w88->p5->w96->p5->c79->t123->w114->t120->p24
26898.9000 M841 927768 4 2051.9000 t121 c56 265 N t121->w110->p20->t123->c56
27090.2000 M887 871004 6 870.2000 p18 w101 285 N p18->c63->p1->c71->p4->t122->w101
27263.0000 M914 695013 2 255.0000 w108 p27 295 N w108->t122->p27
27383.7000 M880 697604 3 1373.7000 w82 p13 277 N w82->c66->t124->p13
27461.7000 M916 727006 7 397.7000 c54 w119 293 N c54->p31->c48->c74->c54->p34->w80->w119
27525.3000 M923 804568 3 250.3000 w87 c50 295 N w87->c77->w91->c50
27564.3000 M885 595333 18 1409.3000 p10 c71 276 N p10->w85->p29->w85->w93->p10->w87->p10->c47->c58->c40->p17->w89->p17->w89->c79->w94->c63->c71
27567.2000 M931 765888 2 43.2000 p38 c46 299 N p38->c68->c46
